evidence_family,research_question,estimand,design,metric,observed,comparator,comparator_n,percentile_vs_comparator,right_tail_p_value,ci_lower_2_5,ci_upper_97_5,probability_model_beats_comparator,artifact,interpretation,caveat
random_baseline_stability,Does the model-ranked wallet strategy outperform multi-seed random wallet selection?,Total execution-aware net profit,Rolling-origin out-of-sample backtest; same execution assumptions; 20 random seeds.,total_net_profit,451407.68751751893,multi_seed_random_wallets,20,0.95,0.09523809523809523,,,,results/random_baseline_stability_summary.json,Primary non-parametric randomization benchmark.,Random-wallet selection is not matched fold-by-fold on execution profile.
random_baseline_stability,Does the model-ranked wallet strategy outperform multi-seed random wallet selection?,Mean equal-capital ROI,Rolling-origin out-of-sample backtest; same execution assumptions; 20 random seeds.,mean_equal_capital_roi,6.7529412324187845,multi_seed_random_wallets,20,0.75,0.2857142857142857,,,,results/random_baseline_stability_summary.json,Primary non-parametric randomization benchmark.,Random-wallet selection is not matched fold-by-fold on execution profile.
random_baseline_stability,Does the model-ranked wallet strategy outperform multi-seed random wallet selection?,Total equal-capital net profit,Rolling-origin out-of-sample backtest; same execution assumptions; 20 random seeds.,total_equal_capital_net_profit,39139.21502678165,multi_seed_random_wallets,20,0.95,0.09523809523809523,,,,results/random_baseline_stability_summary.json,Primary non-parametric randomization benchmark.,Random-wallet selection is not matched fold-by-fold on execution profile.
stratified_random_matching,Does the model advantage persist after matching random seeds on execution profile?,Total execution-aware net profit,"Seed-level nearest-neighbor matching on trades, fill rate, and market concentration.",total_net_profit,451407.68751751893,execution_profile_matched_random_seeds,10,0.9,0.18181818181818182,,,,results/stratified_random_baseline_summary.json,Checks whether alpha is explained by broad execution-profile differences.,Seed-level matching can still hide fold-local mismatch.
stratified_random_matching,Does the model advantage persist after matching random seeds on execution profile?,Mean equal-capital ROI,"Seed-level nearest-neighbor matching on trades, fill rate, and market concentration.",mean_equal_capital_roi,6.7529412324187845,execution_profile_matched_random_seeds,10,0.9,0.18181818181818182,,,,results/stratified_random_baseline_summary.json,Checks whether alpha is explained by broad execution-profile differences.,Seed-level matching can still hide fold-local mismatch.
stratified_random_matching,Does the model advantage persist after matching random seeds on execution profile?,Total equal-capital net profit,"Seed-level nearest-neighbor matching on trades, fill rate, and market concentration.",total_equal_capital_net_profit,39139.21502678165,execution_profile_matched_random_seeds,10,1.0,0.09090909090909091,,,,results/stratified_random_baseline_summary.json,Checks whether alpha is explained by broad execution-profile differences.,Seed-level matching can still hide fold-local mismatch.
fold_matched_bootstrap,Does the model advantage persist under fold-local matched random baselines?,Model-minus-matched-random difference in Total execution-aware net profit,Within-fold nearest-neighbor matching; folds resampled with replacement for bootstrap intervals.,total_net_profit,451407.68751751893,fold_local_matched_random_wallets,3,1.0,0.25,-89686.80060340662,649158.9881482184,0.913,results/fold_matched_random_baseline_summary.json,Strongest current backtest evidence because comparison is local to each out-of-sample fold.,Only five chronological folds are available; bootstrap intervals remain fold-sample sensitive.
fold_matched_bootstrap,Does the model advantage persist under fold-local matched random baselines?,Model-minus-matched-random difference in Mean equal-capital ROI,Within-fold nearest-neighbor matching; folds resampled with replacement for bootstrap intervals.,mean_equal_capital_roi,6.7529412324187845,fold_local_matched_random_wallets,3,1.0,0.25,-0.9737820215480745,5.211049993013501,0.899,results/fold_matched_random_baseline_summary.json,Strongest current backtest evidence because comparison is local to each out-of-sample fold.,Only five chronological folds are available; bootstrap intervals remain fold-sample sensitive.
fold_matched_bootstrap,Does the model advantage persist under fold-local matched random baselines?,Model-minus-matched-random difference in Total equal-capital net profit,Within-fold nearest-neighbor matching; folds resampled with replacement for bootstrap intervals.,total_equal_capital_net_profit,39139.21502678165,fold_local_matched_random_wallets,3,1.0,0.25,-8514.719535736618,60778.00975524345,0.887,results/fold_matched_random_baseline_summary.json,Strongest current backtest evidence because comparison is local to each out-of-sample fold.,Only five chronological folds are available; bootstrap intervals remain fold-sample sensitive.
rolling_origin_prediction,Does the classifier produce temporally out-of-sample ranking signal?,Mean precision at k and ranking quality over chronological folds,Cumulative train / next-block test rolling-origin evaluation.,mean_precision_at_k,0.19,class_balance_and_threshold_policy_diagnostics,5,,,,,,results/rolling_origin_summary.json,Predictive validity is evaluated before economic backtesting.,"Precision-at-k is a ranking diagnostic, not a trading-profit estimand."
label_independence,Is the supervised label independent from contemporaneous feature leakage?,Future-return label validity and trainability,Features are pre-resolution live features; labels use future resolved trades after the observation window.,eligible_labeled_rows,11022.0,phase0_data_quality_and_training_gate,1687218,,,,,,results/label_summary.json,The target is suitable for academic model evaluation because it is temporally separated from live features.,"This supports predictive validity, not causal identification of trader skill."
